Entity Status,Name,Unique Entity ID,Expiration Date,NAICS Code,Address Line 1,Address Line 2,City,State/Province,Zip Code,Source
Inactive,Ricoh Americas Corporation ,S33FXH3CVKJ5,11/9/16,325992,70 Valley Stream Pkwy ,,Malvern,PA,19355,
Inactive,WBE SALES INC,QVNKLNL5Y638,9/14/06,238220,1161 S LEFEVER DR,,LITITZ,PA,17543,
Active,Piasecki Aircraft Corporation,E11VKLMGHB65,11/11/23,332510,519 W Second St,,Essington,PA,19029,
Active,MARVEL MANUFACTURING CO,PLETCBV5VDT4,12/3/23,334519,40 N 2ND ST,,STROUDSBURG,PA,18360,
Active,AIRCRAFT INSTRUMENTS COMPANY,QKQGSB64QH45,1/25/24,334418,4039 SKYRON DR,,DOYLESTOWN,PA,18902,
Active,ELECTRONIC ASSOCIATES INC,SMHVQBFQ2MF5,3/19/24,334220,3556 WINDING WAY,,NEWTOWN SQUARE,PA,19073,
Active,THE FREDRICKS COMPANY INC,ESCFY5HML256,12/6/23,327215,2400 PHILMONT AVE,,HUNTINGDON VALLEY,PA,19006,
Inactive,Gai-Tronics Corporation,PDKJX3GYKKG9,9/19/19,334210,3030 Kutztown Rd,,Reading,PA,19605,
Inactive,King Tester Corporation,ESG9MCKM1QA5,12/8/21,334519,300 SCHELL LN STE 308,,PHOENIXVILLE,PA,19460,
Active,WARREN INDUSTRIES INC,YJ1EQLA3AA36,3/26/24,332999,2045 BENNETT RD,,PHILADELPHIA,PA,19116,
Active,"RIEKER INSTRUMENT COMPANY, INC.",SARVC8KAHR54,2/28/24,334511,34 Mount Pleasant Rd,,Aston,PA,19014,
Active,SKF USA INC.,GMACNTJCUWE5,2/3/24,332510,890 FORTY FOOT RD,,LANSDALE,PA,19446,
Active,"MEECO, INC.",FM4YX67B13M6,1/16/24,333132,250 TITUS AVE,,WARRINGTON,PA,18976,
Active,GOW-MAC INSTRUMENT CO,H84KWH83JTW4,5/10/24,334516,277 BRODHEAD RD,,BETHLEHEM,PA,18017,
Inactive,GENERAL INSTRUMENT CORPORATION,FDXAEHMRGJH1,1/12/16,334220,101 TOURNAMENT DR,,HORSHAM,PA,19044,
Inactive,E O HABHEGGER COMPANY INC,DJUBXKX39LB1,9/16/20,334514,460 PENN ST,,LANSDOWNE,PA,19050,
Active,TINIUS OLSEN TESTING MACHINE COMPANY,FT1FUJDWGZD3,6/14/24,334519,1065 EASTON RD,,HORSHAM,PA,19044,
Active,CHRONOLOG CORP,TBKJEKKJBMF9,1/23/24,325413,2 W PARK RD,,HAVERTOWN,PA,19083,
Active,"COLUMBIA RESEARCH LABORATORIES, INC.",TDF1N555LVG3,1/16/24,334419,1925 MACDADE BLVD,,WOODLYN,PA,19094,
Active,MILLER EDGE INC,C8J4K72MZM73,3/27/24,325212,300 N JENNERSVILLE RD,,WEST GROVE,PA,19390,
Inactive,"ECI Cables, Inc.",HK1GPPNNSCL5,5/27/23,334419,10 Corporate Blvd,,READING,PA,19608,
Active,FRIED BROS INC,Z445CMWLCNR6,11/16/23,334290,467 N 7TH ST,,PHILADELPHIA,PA,19123,
Active,"LSM Technologies, Inc. ",EM7WZYAM4PK7,1/2/24,334610,100 Mountain View Dr ,,Etters,PA,17319,
Active,CONDUCTIVE TECHNOLOGIES INC,D4DDYSUMPQ95,3/29/24,323113,935 BOROM RD,,YORK,PA,17404,
Active,SHELBY JONES COMPANY INC,QL9SJL8JG1Z2,3/5/24,334515,8800 W CHESTER PIKE,,UPPER DARBY,PA,19082,
Active,SINGER EQUIPMENT CO INC,KKGJJL7XDFK5,5/17/24,236220,150 S TWIN VALLEY RD,,ELVERSON,PA,19520,
Inactive,"KCF TECHNOLOGIES, INC.",TE4JC4WHGQF5,3/15/22,334513,336 S FRASER ST,,STATE COLLEGE,PA,16801,
Active,"BIOVISION TECHNOLOGIES, INC.",L9E5DAWNZXL9,5/21/24,334516,202 SOUTHSIDE CIRCLE,,DOWNINGTOWN,PA,19335,
Active,BLILEY TECHNOLOGIES INCORPORATED,ZGN6ADMRSXN5,3/3/24,334419,2545 W GRANDVIEW BLVD,,ERIE,PA,16506,
Active,AIM-USA LLC,JHFRJ2D6MLM3,5/17/24,334111,7 NESHAMINY INTERPLEX,STE 211,TREVOSE,PA,19053,
Active,"NFF AVIONICS SERVICES, INC.",GQWHFEXVM2N6,3/25/24,333613,115 CORPORATION DR,,ALIQUIPPA,PA,15001,
Active,"GREENRAY INDUSTRIES, INC.",UJ36CZC8M4M7,11/29/23,334419,840 W CHURCH RD,,MECHANICSBURG,PA,17055,
Active,Morehouse Instrument Company,NSCHZABDJEJ3,10/5/23,334513,1742 6th Ave,,York,PA,17403,
Inactive,Electronic Test Equipment Manufacturing Company,RKP7MMARRW43,6/19/22,334418,1370 Arcadia Rd,,Lancaster,PA,17601,
Inactive,General Regulator Corp.,E2K8BJKNHPS8,10/9/18,334513,517 Prospect St,,York,PA,17403,
Inactive,SAUCON TECHNOLOGIES INC,YJCLTLJNEK41,10/13/21,334111,2455 BAGLYOS CIR,,BETHLEHEM,PA,18020,
Inactive,"Havis, Inc.",ZQF9ZKNUPYG5,11/7/22,332919,75 Jacksonville Rd,,Warminster,PA,18974,
Active,PENNSYLVANIA COMPUTER CONNECTIONS INC,DANLBTDJAZM4,1/13/24,238210,789 E PITTSBURGH ST,,GREENSBURG,PA,15601,
Inactive,"BRUSH INDUSTRIES, INC.",VNZPV47L5UT9,1/15/21,333318,301 REAGAN ST,,SUNBURY,PA,17801,
Inactive,"Cambria Business Machines, Inc.",CVE3RLSDVN74,1/9/18,238210,647 Franklin St,,Johnstown,PA,15901,
Inactive,Actco Tool & Mfg. Co. ,TE18JKHVFDS9,8/17/16,331210,14421 Baldwin St ,,Meadville,PA,16335,
Active,"APPLIED TEST SYSTEMS, LLC",X6HQGGBG7R47,5/15/24,334516,154 EAST BROOK LANE,,BUTLER,PA,16002,
Inactive,Star-H Corporation,GBCQHED94N16,2/26/21,334220,48-50 W Chestnut St.,,Lancaster,PA,17603,
Active,Spang & Company ,ZSCEDAM8DCH3,12/30/23,332117,110 Delta Dr ,,Pittsburgh,PA,15238,
Active,SKC INC,MBWMLJYDL9L3,1/31/24,334519,863 VALLEY VIEW RD,,EIGHTY FOUR,PA,15330,
Active,"Anderson Electronics, LLC",MANKH47PKVJ6,2/4/24,334419,721 SCOTCH VALLEY RD STE 200,,HOLLIDAYSBURG,PA,16648,
Active,Fisher Scientific Company L.L.C.,HE7NJQGP4ED6,1/6/24,325998,300 Industry Dr,,Pittsburgh,PA,15275,
Inactive,"Mine Safety Appliances Company, LLC",FDMCABKJFNE8,3/17/22,315220,1000 Cranberry Woods Dr,,Cranberry Township,PA,16066,
Inactive,Milton Roy LLC,GCJ5UANN3ZH3,3/26/15,332911,201 Ivyland Rd,,Ivyland,PA,18974,
Inactive,FLIGHT SYSTEMS INDUSTRIAL PRODUCTS COMPANY,HHFGQLLQH961,8/13/19,334418,1015 HARRISBURG PIKE,,CARLISLE,PA,17013,
Active,"TECNIPLAST USA, INC.",QHF3J4MS24H4,12/14/23,326199,1345 ENTERPRISE DR STE 2,,WEST CHESTER,PA,19380,
Active,FIVE STAR ASSOCIATES INC,MJKFFTERG6S4,3/12/24,332710,1 BLUE VALLEY DR,,BANGOR,PA,18013,
Inactive,"Grove Supply, Inc.",CKFJTLFKQBL3,3/6/20,326191,106 STEAMBOAT DR,,Warminster,PA,18974,
Inactive,"LEHIGHTON ELECTRONICS, INC.",SKP4CSURH3N7,3/16/16,334513,208 MEMORIAL DR,,LEHIGHTON,PA,18235,
Inactive,TRITON SERVICES INCORPORATED,C8EPE3X7FNE8,4/16/14,334111,9999 HAMILTON BLVD STE 350,,BREINIGSVILLE,PA,18031,
Active,IVES EQUIPMENT CORP,TMDVSPNEFR69,11/16/23,334513,601 CROTON RD,,KING OF PRUSSIA,PA,19406,
Active,STRAINSERT COMPANY,D7FGDC1L9XJ7,5/10/24,334516,12 UNION HILL RD,,CONSHOHOCKEN,PA,19428,
Inactive,"GENERAL MACHINE PRODUCTS COMPANY, INC.",LA67JCLMTAJ8,5/3/18,332313,3111 OLD LINCOLN HWY,,TREVOSE,PA,19053,
Inactive,STANECO CORPORATION,UKNJQDJ3CAN5,4/26/22,334513,901 SHEEHY DR,,HORSHAM,PA,19044,
